COD_PAI4,COD_SAL,POSAR,FOBDOL,FOBPES
USA,AXM,2710191500,111249,440089316
PAN,AXM,2710191500,8120,32122972
DEU,BOG,810901010,1838,7245318
DEU,BOG,810903000,679,2678303
DEU,BOG,810905000,1918,7562732
DEU,BOG,810909010,278,1094191
DEU,BOG,6107110000,131,523725
DEU,BOG,6107120000,1511,6042428
DEU,BOG,6109909000,97,387456
DEU,BOG,6203430000,21,85648
DEU,BOG,603199010,13980,55900529
DEU,BOG,804400010,21815,85791181
DEU,BOG,603199010,1495,5868005
DEU,BOG,603199090,2,7891
DEU,BOG,604200000,15,58887
DEU,BOG,9805000000,1500,5998815
DEU,BOG,603121000,592,2324056
DEU,BOG,603129000,5569,21866888
DEU,BOG,7007210000,110274,436560253
DEU,BOG,603121000,252,991013
DEU,BOG,603129000,4411,17347441
DEU,BOG,4421999000,1500,5974725
DEU,BOG,5607500000,2502,9965841
DEU,BOG,603121000,1908,7629157
DEU,BOG,603129000,14528,57782797
DEU,BOG,301110090,13866,55148535
DEU,BOG,603121000,372,1496031
DEU,BOG,603129000,2096,8432246
DEU,BOG,810901030,560,2234148
DEU,BOG,810905000,6064,24190636
DEU,BOG,901211000,6055,24119328
DEU,BOG,1302199900,19389,77216693
DEU,BOG,2617900000,22500,89621313
DEU,BOG,3926909090,7616,30073660
DEU,BOG,4202111000,11475,45403821
DEU,BOG,4202210000,10214,40416088
DEU,BOG,4202310000,14116,55855088
DEU,BOG,4202911000,2640,10444699
DEU,BOG,4202919000,3425,13553130
DEU,BOG,7117900000,33328,133293643
DEU,BOG,8306290000,684,2734061
DEU,BOG,9206000000,12056,48204037
DEU,BOG,9602009000,214,856878
DEU,BOG,301110090,19841,78605491
DEU,BOG,7007210000,383,1499610
DEU,BOG,106190000,50,195772
DEU,BOG,603129000,2236,8845733
DEU,BOG,1806320090,5565,22162613
DEU,BOG,3919909000,1486,5980381
DEU,BOG,603121000,1064,4119223
DEU,BOG,603129000,1592,6163348
DEU,BOG,603121000,966,3860961
DEU,BOG,603129000,3256,13019149
DEU,BOG,603129000,13993,54935836
DEU,BOG,603121000,2426,9574007
DEU,BOG,603129000,18204,73079992
DEU,BOG,603900000,18415,72847609
DEU,BOG,603121000,2668,10536126
DEU,BOG,603129000,7528,29616256
DEU,BOG,603121000,659,2634218
DEU,BOG,603129000,5137,20540346
DEU,BOG,603110000,917,3628349
DEU,BOG,7103912000,135475,548026180
DEU,BOG,301110090,2767,10860800
DEU,BOG,1211909000,972,3870865
DEU,BOG,810905000,9490,36269726
DEU,BOG,804502000,23,88718
DEU,BOG,810901030,2,7765
DEU,BOG,810903000,149,587511
DEU,BOG,810905000,42159,163199624
DEU,BOG,603129000,800,3192704
DEU,BOG,803901200,112,449191
DEU,BOG,804200000,470,1887292
DEU,BOG,804501000,110,437837
DEU,BOG,810901010,438,1760154
DEU,BOG,810901040,181,726592
DEU,BOG,810902000,207,833086
DEU,BOG,810903000,172,687744
DEU,BOG,810904000,2683,10766905
DEU,BOG,810905000,2231,8923975
DEU,BOG,810909020,119,473823
DEU,BOG,811909500,243,971638
DEU,BOG,3004902900,164855,648305433
DEU,BOG,3304990000,11632,46526153
DEU,BOG,3401110000,4363,17453127
DEU,BOG,8443329000,8487,33373925
DEU,BOG,9030901000,25101,98710762
DEU,BOG,805502200,5,19224
DEU,BOG,8536491900,1971,7881721
DEU,BOG,8536491900,11263,45043490
DEU,BOG,603121000,1354,5354679
DEU,BOG,603129000,16499,65516123
DEU,BOG,9031809000,91000,353010550
DEU,BOG,603121000,555,2195527
DEU,BOG,603129000,925,3659212
DEU,BOG,603121000,3825,15265116
DEU,BOG,603129000,6035,24084961
DEU,BOG,603121000,672,2658351
DEU,BOG,603129000,7706,30482429
DEU,BOG,603110000,4386,17504560
DEU,BOG,603149000,707,2738393
DEU,BOG,301110090,6163,24194521
DEU,BOG,301110020,679,2628327
DEU,BOG,301110090,3294,12929203
DEU,BOG,2710191500,2648878,10476910283
DEU,BOG,3304990000,25974,103458338
DEU,BOG,3923299000,11658,46612950
DEU,BOG,2106904000,10299,41024214
DEU,BOG,3923299000,3152,12396192
ARM,BOG,603129000,340,1367891
ARM,BOG,603192000,158,631365
ARM,BOG,603193000,3656,14617753
ARM,BOG,603199090,323,1290319
ARM,BOG,603121000,74,294705
ARM,BOG,603129000,607,2428776
ARM,BOG,603193000,2926,11678911
ARM,BOG,603129000,140,557550
