COD_PAI4;COD_SAL;POSAR;FOBDOL;FOBPES
USA;AXM;2710191500;104645;422470536
PAN;AXM;2710191500;12125;48952665
DEU;BOG;810901010;3000;12111570
DEU;BOG;810901020;635;2561597
DEU;BOG;810901030;228;920479
DEU;BOG;810903000;941;3796977
DEU;BOG;810905000;6903;27612298
DEU;BOG;810909010;296;1195008
DEU;BOG;6204420000;9256;36845082
DEU;BOG;6204440000;5175;20599967
DEU;BOG;6204490000;3267;13004849
DEU;BOG;6204520000;4560;18151855
DEU;BOG;603199010;1094;4347840
DEU;BOG;603199010;15999;65473597
DEU;BOG;6112410000;4930;20294789
DEU;BOG;6204420000;54726;225284504
DEU;BOG;6204490000;6256;25753387
DEU;BOG;6204590000;3604;14836190
DEU;BOG;6204690000;4216;17355543
DEU;BOG;6206900000;3332;13716478
DEU;BOG;6211499000;3332;13716478
DEU;BOG;6217100000;7780;32027070
DEU;BOG;3002121200;157775;636965634
DEU;BOG;8409911000;2526;10080297
DEU;BOG;7318160000;60;247063
DEU;BOG;7318290000;20;82354
DEU;BOG;603121000;200;811388
DEU;BOG;603129000;6102;24935734
DEU;BOG;7007210000;99872;405667866
DEU;BOG;603121000;1008;4098316
DEU;BOG;603129000;2246;9133391
DEU;BOG;7007210000;1484;5883801
DEU;BOG;603129000;461;1870917
DEU;BOG;7007210000;18500;74688015
DEU;BOG;301110090;13918;56397252
DEU;BOG;603121000;297;1181121
DEU;BOG;603129000;1808;7210408
DEU;BOG;804200000;50;199764
DEU;BOG;804501000;104;412211
DEU;BOG;804502000;50;198179
DEU;BOG;810901030;320;1268342
DEU;BOG;810902000;88;348794
DEU;BOG;810904000;583;2310761
DEU;BOG;810905000;5380;21324403
DEU;BOG;810909010;70;277450
DEU;BOG;810909020;29;112962
DEU;BOG;8471300000;287;1183314
DEU;BOG;8471500000;568;2339582
DEU;BOG;8479900000;194;799401
DEU;BOG;8517130000;88155;362897703
DEU;BOG;8517629000;326;1340156
DEU;BOG;8518300000;41;168863
DEU;BOG;8542310000;6331;26063613
DEU;BOG;9027909000;6874;28296781
DEU;BOG;7007210000;372;1531010
DEU;BOG;7007210000;8753;36012709
DEU;BOG;301110090;6549;26330876
DEU;BOG;7007210000;2238;9052867
DEU;BOG;7007210000;747;2960708
DEU;BOG;106190000;450;1787799
DEU;BOG;8419501000;1457;5997872
DEU;BOG;7007210000;374;1540387
DEU;BOG;7007210000;7457;30514581
DEU;BOG;106110000;50;200253
DEU;BOG;106131200;50;200253
DEU;BOG;603121000;2943;11881046
DEU;BOG;603129000;8776;35547304
DEU;BOG;810901010;4922;20140648
DEU;BOG;1905310000;3487;13914183
DEU;BOG;8514190000;10316;41005041
DEU;BOG;9018390000;13933;56388384
DEU;BOG;9018909090;18860;76329911
DEU;BOG;603121000;1140;4648282
DEU;BOG;603129000;2736;11155876
DEU;BOG;3909390000;27;106493
DEU;BOG;3923409000;83;329257
DEU;BOG;4202129000;514;2044667
DEU;BOG;4818200000;21;85186
DEU;BOG;6307909000;95;379343
DEU;BOG;7308909000;39;153359
DEU;BOG;7318159000;23;90274
DEU;BOG;7318160000;8;31960
DEU;BOG;7318220000;2;6837
DEU;BOG;8205100000;51;203167
DEU;BOG;8205599900;73;289665
DEU;BOG;8425190000;355;1409726
DEU;BOG;8467210000;122;485597
DEU;BOG;8467290000;74;292209
DEU;BOG;8479899000;334;1329032
DEU;BOG;8482100000;643;2555824
DEU;BOG;8517699090;26;102239
DEU;BOG;8543709000;5556;22086196
DEU;BOG;8544429000;2;8586
DEU;BOG;9022130000;9498;39078390
DEU;BOG;9022300000;1824;7502860
DEU;BOG;9022900000;14005;57619150
DEU;BOG;9026101900;725;2941282
DEU;BOG;9031499000;21968;87323982
DEU;BOG;9031900000;6315;25102216
DEU;BOG;8443910000;26255;106187801
DEU;BOG;603129000;4717;19232469
DEU;BOG;603900000;4972;19773047
DEU;BOG;603129000;10577;43436054
DEU;BOG;7007210000;5471;21652485
DEU;BOG;603121000;1895;7693329
DEU;BOG;603129000;14443;57579527
DEU;BOG;603121000;369;1467454
DEU;BOG;603129000;2781;11058001
DEU;BOG;603110000;1202;4918981
DEU;BOG;7007210000;924;3657454
DEU;BOG;603900000;770;3062564
DEU;BOG;3305900000;5514;22482189
DEU;BOG;804502000;1918;7899003
DEU;BOG;8525890000;28040;111463153
DEU;BOG;9018909090;113982;453086761
DEU;BOG;2617900000;44999;183219947
DEU;BOG;9018500000;300;1213353
DEU;BOG;810901020;6336;26068141
DEU;BOG;810905000;9949;40708065
DEU;BOG;810901020;1200;4937148
DEU;BOG;810905000;6357;26154542
DEU;BOG;804502000;47;191233
DEU;BOG;810901020;12960;52717346
DEU;BOG;810903000;1622;6579112
DEU;BOG;810905000;96475;392943488
DEU;BOG;603129000;832;3332210
DEU;BOG;803901200;48;189657
DEU;BOG;804200000;291;1154192
DEU;BOG;804501000;40;156561
DEU;BOG;804502000;2114;8378987
DEU;BOG;810901010;868;3441489
DEU;BOG;810901040;129;511301
DEU;BOG;810902000;216;857320
DEU;BOG;810904000;1873;7423767
DEU;BOG;810905000;958;3797695
DEU;BOG;1211909000;54077;219065628
DEU;BOG;603149000;114;460240
DEU;BOG;603121000;1670;6743722
DEU;BOG;603129000;13691;55141540
DEU;BOG;810901010;4740;19398995
DEU;BOG;603121000;370;1497107
DEU;BOG;603129000;606;2450687
DEU;BOG;603121000;751;3009402
DEU;BOG;603129000;1238;4956662
DEU;BOG;603149000;1483;5901343
DEU;BOG;603121000;1915;7591029
DEU;BOG;603129000;9350;37060965
DEU;BOG;603193000;2448;9767251
DEU;BOG;8536491900;4400;17981766
DEU;BOG;810904000;14875;58958104
DEU;BOG;602109000;13;51071
DEU;BOG;301110090;4557;18435491
DEU;BOG;301110090;2459;9790060
DEU;BOG;2710191500;2858384;11575369464
DEU;BOG;3005101000;8232;33294892
DEU;BOG;3923299000;30131;122504692
DEU;BOG;3923299000;1112;4496039
ARM;BOG;603199010;1;2028
ARM;BOG;603192000;10;39807
ARM;BOG;603199010;7;27865
ARM;BOG;603199090;6;23884
ARM;BOG;604200000;15;59710
ARM;BOG;603129000;68;270306
ARM;BOG;603193000;2678;10813210
ARM;BOG;603121000;74;301731
ARM;BOG;603129000;331;1349633
ARM;BOG;603193000;1838;7474548
ARM;BOG;603199090;138;561079
ARM;BOG;603121000;155;617206
ARM;BOG;603129000;5842;23233693
ARM;BOG;603193000;4;15907
ARM;BOG;603121000;437;1773004
ARM;BOG;603129000;580;2351240
ARM;BOG;603149000;64;258380
ARM;BOG;603129000;144;572413
ARM;BOG;603121000;160;649347
ARM;BOG;603129000;325;1319999
ARM;BOG;603199090;2;6171
ABW;BOG;6104430000;76;303299
ABW;BOG;6104520000;182;723466
ABW;BOG;6112410000;10598;42128004
ABW;BOG;6204440000;748;2971777
ABW;BOG;6204520000;183;726249
ABW;BOG;6204620000;127;506426
ABW;BOG;6204690000;422;1677885
ABW;BOG;6211110000;205;815291
ABW;BOG;6211430000;2272;9032199
ABW;BOG;6217100000;998;3965152
ABW;BOG;6302930000;108;428515
ABW;BOG;6505009000;18;72347
ABW;BOG;603110000;799;3242469
ABW;BOG;603121000;803;3255775
ABW;BOG;603141000;899;3646215
ABW;BOG;604900000;705;2861076
ABW;BOG;4817100000;2858;11559210
ABW;BOG;8419200000;7225;28720025
ABW;BOG;9018499000;5054;20090105
ABW;BOG;306110000;3600;14363604
ABW;BOG;3304100000;3948;15624326
ABW;BOG;3304200000;5000;19789483
ABW;BOG;3304300000;3617;14313513
ABW;BOG;3304910000;9321;36890374
ABW;BOG;3304990000;3664;14500636
ABW;BOG;2103909000;3;12180
ABW;BOG;603110000;6221;25116328
ABW;BOG;603121000;285;1150034
ABW;BOG;603129000;1139;4600095
ABW;BOG;603141000;524;2116012
ABW;BOG;603191000;456;1839990
ABW;BOG;603199090;5663;22864545
ABW;BOG;604200000;1738;7015102
ABW;BOG;2007999100;4;16020
ABW;BOG;2103100000;4;16020
ABW;BOG;2103200000;8;32040
ABW;BOG;2103901000;4;16020
ABW;BOG;2103909000;2;8010
ABW;BOG;2202990000;4;16020
ABW;BOG;2209000000;2;8010
ABW;BOG;603110000;1384;5627053
ABW;BOG;603199090;1459;5931174
ABW;BOG;603110000;1544;6231726
ABW;BOG;603129000;427;1724647
ABW;BOG;603141000;57;229958
ABW;BOG;603191000;114;459917
ABW;BOG;603199090;1677;6772023
ABW;BOG;604200000;997;4024150
ABW;BOG;9403300000;2003;8020934
ABW;BOG;702000000;184;741135
ABW;BOG;703100090;170;683459
ABW;BOG;705190000;549;2211129
ABW;BOG;603110000;44566;178966386
ABW;BOG;603121000;162;662845
ABW;BOG;603129000;1896;7603896
ABW;BOG;603141000;323;1316953
ABW;BOG;603191000;2600;10443844
ABW;BOG;603192000;18;74119
ABW;BOG;603193000;1314;5273260
ABW;BOG;603199010;150;613091
ABW;BOG;603199090;2764;11073408
ABW;BOG;604200000;3742;15156034
ABW;BOG;702000000;61;250901
ABW;BOG;703100090;57;231339
ABW;BOG;705190000;183;749142
ABW;BOG;709590000;239;950047
ABW;BOG;709999000;23;89599
ABW;BOG;910999000;357;1417756
ABW;BOG;1211903000;40;160395
ABW;BOG;1211909000;5150;20470243
ABW;BOG;702000000;61;244055
ABW;BOG;703100090;57;225027
ABW;BOG;705190000;183;728701
ABW;BOG;2710191500;466202;1869878521
BIH;BOG;603129000;136;552947
